1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7320984,541587,9410,18587,4398,8655,303,1317,18,804,82,21,22,64,9,0
7321123,541186,9540,18739,4355,8790,336,1164,19,828,72,18,35,52,4,0
7320812,542078,9316,18441,4329,8525,305,1373,27,849,70,16,31,82,7,0
7321140,541159,9531,18681,4403,8789,301,1230,20,846,75,10,24,49,3,0
7320954,541671,9375,18559,4393,8656,307,1333,22,792,71,23,24,77,4,0
7320972,541605,9400,18600,4352,8714,333,1279,20,807,51,18,29,70,11,0
7321056,541395,9432,18621,4409,8739,314,1296,23,806,69,14,19,66,2,0
7321094,541276,9512,18665,4386,8767,306,1228,14,831,67,15,38,60,2,0
7320940,541703,9391,18590,4357,8630,329,1288,22,804,74,18,38,72,4,1
7321045,541424,9423,18618,4411,8724,316,1315,11,802,63,14,35,54,6,0
7320869,541906,9319,18524,4319,8622,350,1328,24,813,49,17,33,80,8,0
7320944,541706,9401,18576,4343,8615,321,1298,25,844,74,15,41,51,7,0
7320884,541886,9294,18493,4360,8608,322,1403,26,822,50,19,36,51,7,0
7321011,541522,9404,18598,4375,8713,328,1301,24,819,58,13,30,63,2,0
7321114,541220,9559,18679,4338,8799,308,1184,16,881,59,18,36,47,2,1
7321044,541409,9403,18664,4414,8748,335,1284,23,758,60,16,36,63,4,0
7320998,541547,9430,18609,4362,8688,326,1268,23,825,70,12,28,69,6,0
7320998,541553,9425,18575,4365,8707,315,1297,15,836,56,14,32,68,5,0
7321138,541153,9532,18724,4396,8783,310,1200,27,820,85,21,21,49,2,0
7321108,541237,9453,18687,4401,8822,329,1259,22,786,53,25,22,55,2,0
7321121,541196,9526,18716,4355,8808,335,1185,18,835,62,17,30,52,5,0
7321026,541476,9450,18613,4367,8705,312,1271,26,842,72,16,23,57,5,0
7321009,541537,9400,18605,4365,8687,342,1303,21,820,70,17,21,62,2,0
7321094,541272,9513,18675,4401,8747,301,1229,19,828,80,10,30,54,8,0
7321197,540984,9627,18752,4332,8878,317,1108,24,893,59,12,30,47,1,0
7320950,541716,9413,18510,4324,8629,310,1323,20,897,64,13,32,60,0,0
7321153,541101,9522,18702,4411,8865,313,1217,11,799,53,18,24,69,3,0
7321099,541271,9489,18652,4396,8776,306,1259,18,833,65,15,26,52,4,0
7320896,541856,9389,18504,4296,8588,324,1311,23,888,68,17,30,68,3,0
7321042,541421,9469,18652,4347,8735,333,1231,20,834,65,17,29,60,6,0
7321281,540733,9644,18830,4410,8952,319,1103,13,816,64,12,27,54,3,0
7321104,541247,9553,18693,4318,8793,327,1160,21,875,63,19,29,57,2,0
7321251,540819,9650,18821,4372,8915,324,1088,13,841,67,16,32,49,3,0
7321205,540951,9583,18761,4409,8885,300,1162,24,819,67,19,22,51,3,0
7321064,541373,9443,18672,4357,8744,353,1255,19,819,65,19,25,48,5,0
7321114,541223,9480,18681,4406,8800,319,1251,19,805,64,17,22,56,4,0
7320873,541922,9315,18462,4365,8570,310,1407,17,839,63,13,34,65,5,1
7321042,541439,9476,18640,4310,8725,341,1224,28,881,65,15,23,48,4,0
7320975,541624,9430,18573,4343,8653,313,1290,19,855,69,19,37,58,3,0
7321112,541239,9511,18674,4354,8790,329,1219,22,869,60,7,26,43,6,0
7321112,541237,9634,18647,4276,8781,292,1140,10,965,65,21,30,48,3,0
7321138,541145,9542,18726,4361,8830,327,1164,28,837,63,14,26,58,2,0
7321138,541153,9544,18748,4349,8791,341,1164,23,845,74,15,32,39,5,0
7320867,541926,9347,18476,4321,8595,310,1354,21,859,52,20,41,67,5,0
7321102,541247,9552,18683,4318,8810,323,1170,16,877,57,21,22,55,8,0
7321057,541377,9482,18657,4324,8779,336,1218,21,855,50,20,27,51,6,1
7320943,541718,9320,18540,4403,8644,322,1386,24,789,62,16,28,61,5,0
7320967,541655,9387,18569,4363,8638,316,1322,31,837,72,18,34,52,0,0
7321004,541524,9427,18621,4357,8715,338,1263,16,809,64,18,22,75,8,0
7321107,541241,9511,18686,4376,8782,311,1220,24,839,67,18,30,45,4,0
7321205,540960,9649,18798,4287,8877,352,1060,17,899,64,18,27,45,3,0
7321019,541474,9432,18603,4404,8745,298,1285,20,797,52,14,40,74,4,0
7321233,540876,9653,18805,4327,8912,325,1073,25,878,65,24,20,44,1,0
7321148,541116,9576,18737,4344,8826,318,1152,19,855,68,26,26,45,5,0
7321064,541355,9478,18682,4344,8766,351,1207,16,818,62,17,27,69,5,0
7321145,541134,9531,18695,4388,8833,312,1214,17,836,60,16,24,53,2,1
7320976,541606,9421,18566,4374,8683,291,1304,24,835,60,18,38,59,6,0
7321211,540947,9622,18777,4336,8878,326,1120,16,878,63,22,28,33,4,0
7321014,541503,9476,18615,4316,8718,319,1236,20,875,55,19,40,49,6,0
7320993,541570,9410,18573,4393,8677,302,1318,22,820,69,15,31,65,3,0
7321095,541296,9503,18682,4321,8758,349,1213,18,872,66,19,27,40,2,0
7321048,541425,9494,18602,4326,8734,314,1248,18,900,58,12,29,48,5,0
7321143,541145,9561,18683,4382,8802,299,1201,16,863,71,11,27,54,3,0
7320934,541730,9400,18549,4321,8654,324,1288,26,857,57,14,33,68,6,0
7320919,541772,9387,18521,4349,8634,305,1320,20,838,60,18,38,77,3,0
7321024,541476,9493,18617,4321,8720,315,1221,20,868,65,23,30,67,1,0
7321124,541196,9489,18707,4377,8815,339,1226,18,815,58,19,26,48,4,0
7321099,541256,9467,18678,4464,8748,288,1281,22,772,80,12,38,51,5,0
7321007,541509,9441,18609,4362,8737,311,1266,18,820,50,21,39,65,6,0
7321030,541451,9411,18627,4410,8738,321,1291,23,778,64,15,23,74,5,0
7320990,541571,9432,18610,4351,8673,322,1270,22,833,69,18,38,57,5,0
7320924,541765,9368,18478,4383,8651,280,1374,20,840,54,17,28,74,5,0
7321010,541501,9448,18576,4385,8743,286,1283,23,833,53,14,27,72,6,1
7321047,541416,9458,18598,4375,8759,303,1277,23,853,49,8,34,57,4,0
7320933,541723,9363,18547,4381,8662,308,1327,28,798,58,17,34,78,4,0
7320882,541892,9323,18456,4389,8581,274,1413,35,847,65,13,31,53,7,0
7320944,541718,9441,18547,4289,8625,325,1267,21,903,69,15,32,61,4,0
7321021,541492,9417,18607,4369,8723,325,1296,23,828,59,17,24,54,6,0
7320982,541598,9407,18592,4369,8666,314,1300,27,827,67,16,39,53,4,0
7321026,541463,9447,18634,4359,8733,321,1255,24,822,62,23,28,60,3,1
7321105,541265,9513,18684,4315,8784,354,1205,11,875,56,17,31,43,3,0
7320857,541963,9303,18420,4366,8600,284,1428,23,851,40,15,44,63,4,0
7321096,541263,9482,18685,4407,8776,317,1247,14,796,69,18,28,56,6,1
